iter	Passed	Remaining
0	0	252
1	0	238
2	0	227
3	1	231
4	1	235
5	1	232
6	1	222
7	2	215
8	2	215
9	2	216
10	2	216
11	3	217
12	3	217
13	3	218
14	3	220
15	4	222
16	4	223
17	4	223
18	5	222
19	5	222
20	5	222
21	6	245
22	6	244
23	7	243
24	7	241
25	7	240
26	7	239
27	8	239
28	8	239
29	8	237
30	8	237
31	9	236
32	9	236
33	9	234
34	10	234
35	10	236
36	10	238
37	11	237
38	11	236
39	11	235
40	11	235
41	12	235
42	12	234
43	12	235
44	13	237
45	13	237
46	14	250
47	14	249
48	15	248
49	15	247
50	15	245
51	15	245
52	16	244
53	16	243
54	16	242
55	16	241
56	17	240
57	17	239
58	17	238
59	18	237
60	18	236
61	18	235
62	18	234
63	19	234
64	19	233
65	19	232
66	19	232
67	20	231
68	20	230
69	20	229
70	20	229
71	21	228
72	21	227
73	21	227
74	21	226
75	22	226
76	22	225
77	22	224
78	22	224
79	23	225
80	23	225
81	24	226
82	24	226
83	24	227
84	25	226
85	25	226
86	25	225
87	26	225
88	26	224
89	26	224
90	26	223
91	27	223
92	27	222
93	27	222
94	27	222
95	28	221
96	28	220
97	28	220
98	28	220
99	29	220
100	29	220
101	30	220
102	30	221
103	30	221
104	31	221
105	31	220
106	31	220
107	31	219
108	32	219
109	32	218
110	32	218
111	33	218
112	33	217
113	33	217
114	33	216
115	34	216
116	34	215
117	34	215
118	34	214
119	35	214
120	35	214
121	35	213
122	36	213
123	36	212
124	36	212
125	36	211
126	37	211
127	37	210
128	37	210
129	37	210
130	38	209
131	38	209
132	38	209
133	38	208
134	39	208
135	39	208
136	39	207
137	40	207
138	40	206
139	40	206
140	40	206
141	41	206
142	41	205
143	41	205
144	42	204
145	42	204
146	42	204
147	42	204
148	43	203
149	43	203
150	43	203
151	44	203
152	44	203
153	44	203
154	45	203
155	45	202
156	45	202
157	46	202
158	46	201
159	46	201
160	46	200
161	47	200
162	47	200
163	47	199
164	47	199
165	48	198
166	48	198
167	49	200
168	49	200
169	49	200
170	50	199
171	50	199
172	50	198
173	50	198
174	51	197
175	51	197
176	51	197
177	52	197
178	52	196
179	52	196
180	52	195
181	53	195
182	53	194
183	53	194
184	54	194
185	54	194
186	54	193
187	54	193
188	55	193
189	55	192
190	55	192
191	55	192
192	56	191
193	56	191
194	56	191
195	57	190
196	57	190
197	57	190
198	57	189
199	58	189
200	58	189
201	58	188
202	58	188
203	59	187
204	59	187
205	59	187
206	60	186
207	60	186
208	60	186
209	60	185
210	61	185
211	61	185
212	61	184
213	61	184
214	62	184
215	62	183
216	63	185
217	63	185
218	64	184
219	64	184
220	64	183
221	64	183
222	65	183
223	65	182
224	65	182
225	65	182
226	66	181
227	66	181
228	66	181
229	66	180
230	67	180
231	67	179
232	67	179
233	67	179
234	68	178
235	68	178
236	68	178
237	69	177
238	69	177
239	69	177
240	69	176
241	70	176
242	70	176
243	70	175
244	71	175
245	71	175
246	71	175
247	71	174
248	72	174
249	72	174
250	72	173
251	73	173
252	73	173
253	73	172
254	73	172
255	74	172
256	74	171
257	74	171
258	74	171
259	75	171
260	75	170
261	75	170
262	76	170
263	76	169
264	76	169
265	76	169
266	77	168
267	77	168
268	77	168
269	78	168
270	78	167
271	78	167
272	79	167
273	79	167
274	79	166
275	79	166
276	80	166
277	80	165
278	80	165
279	81	165
280	81	164
281	81	164
282	82	164
283	82	164
284	82	164
285	83	164
286	83	164
287	83	164
288	84	164
289	84	163
290	85	163
291	85	163
292	85	163
293	86	163
294	86	162
295	86	162
296	86	162
297	87	161
298	87	161
299	87	161
300	88	161
301	88	160
302	88	160
303	88	160
304	89	159
305	89	159
306	89	159
307	90	158
308	90	158
309	90	158
310	91	158
311	91	157
312	91	157
313	91	157
314	92	157
315	92	156
316	92	156
317	93	156
318	93	155
319	93	155
320	93	155
321	94	154
322	94	154
323	94	153
324	94	153
325	95	153
326	95	152
327	95	152
328	95	152
329	96	151
330	96	151
331	96	151
332	96	150
333	97	150
334	97	150
335	97	149
336	98	149
337	98	149
338	98	149
339	98	148
340	99	148
341	100	149
342	100	149
343	100	148
344	101	148
345	101	148
346	101	148
347	102	147
348	102	147
349	102	147
350	103	146
351	103	146
352	103	146
353	103	145
354	104	145
355	104	145
356	104	144
357	105	144
358	105	144
359	105	144
360	106	143
361	106	143
362	106	143
363	106	143
364	107	142
365	107	142
366	107	142
367	108	141
368	108	141
369	108	141
370	109	141
371	109	140
372	109	140
373	109	139
374	110	139
375	110	139
376	110	139
377	110	138
378	111	138
379	111	138
380	111	137
381	112	137
382	112	137
383	112	137
384	113	136
385	113	136
386	113	136
387	113	135
388	114	135
389	114	135
390	114	135
391	115	134
392	115	134
393	115	134
394	116	133
395	116	133
396	116	133
397	116	133
398	117	132
399	117	132
400	117	132
401	118	132
402	118	131
403	119	131
404	119	131
405	119	131
406	120	131
407	120	130
408	120	130
409	121	130
410	121	129
411	121	129
412	122	129
413	122	129
414	122	129
415	123	128
416	123	128
417	123	128
418	124	128
419	124	127
420	124	127
421	125	127
422	125	127
423	125	126
424	126	126
425	126	126
426	127	126
427	127	126
428	127	125
429	128	125
430	128	125
431	128	124
432	129	124
433	129	124
434	129	123
435	129	123
436	130	123
437	130	123
438	130	122
439	131	122
440	131	122
441	131	122
442	132	121
443	132	121
444	133	121
445	133	121
446	133	120
447	133	120
448	134	120
449	134	119
450	134	119
451	135	119
452	135	119
453	135	118
454	136	118
455	136	118
456	137	118
457	137	117
458	137	117
459	137	117
460	138	116
461	138	116
462	138	116
463	139	116
464	140	116
465	140	115
466	140	115
467	140	115
468	141	115
469	141	114
470	141	114
471	142	114
472	142	113
473	142	113
474	143	113
475	143	112
476	143	112
477	143	112
478	144	111
479	144	111
480	144	111
481	145	111
482	145	110
483	145	110
484	145	110
485	146	109
486	146	109
487	146	109
488	147	109
489	147	108
490	147	108
491	148	108
492	148	107
493	148	107
494	149	107
495	149	107
496	150	106
497	150	106
498	150	106
499	151	106
500	151	105
501	151	105
502	151	105
503	152	104
504	152	104
505	152	104
506	153	103
507	153	103
508	154	103
509	154	103
510	154	103
511	155	102
512	155	102
513	155	102
514	156	101
515	156	101
516	156	101
517	156	100
518	157	100
519	157	100
520	157	99
521	157	99
522	158	99
523	158	98
524	158	98
525	159	98
526	159	97
527	160	98
528	160	97
529	161	97
530	161	97
531	161	97
532	162	96
533	162	96
534	162	96
535	163	95
536	163	95
537	163	95
538	163	94
539	164	94
540	164	94
541	164	93
542	165	93
543	165	93
544	165	92
545	165	92
546	166	92
547	166	92
548	166	91
549	166	91
550	167	91
551	167	90
552	167	90
553	168	90
554	168	89
555	168	89
556	168	89
557	169	88
558	169	88
559	169	88
560	170	87
561	170	87
562	171	87
563	171	87
564	171	87
565	172	86
566	172	86
567	172	86
568	173	85
569	173	85
570	173	85
571	173	84
572	174	84
573	174	84
574	174	83
575	174	83
576	175	83
577	175	82
578	175	82
579	176	82
580	177	82
581	177	82
582	178	82
583	178	81
584	179	81
585	179	81
586	179	80
587	179	80
588	180	80
589	180	79
590	180	79
591	180	79
592	181	78
593	181	78
594	181	78
595	181	77
596	182	77
597	182	77
598	182	76
599	183	76
600	183	76
601	183	75
602	183	75
603	184	75
604	184	74
605	184	74
606	184	74
607	185	74
608	185	73
609	185	73
610	186	73
611	186	72
612	186	72
613	186	72
614	187	71
615	187	71
616	187	71
617	188	70
618	188	70
619	188	70
620	189	70
621	189	69
622	189	69
623	189	69
624	190	68
625	190	68
626	190	68
627	191	67
628	191	67
629	191	67
630	191	66
631	192	66
632	192	66
633	192	65
634	193	65
635	193	65
636	193	65
637	193	64
638	194	64
639	194	64
640	194	63
641	194	63
642	195	63
643	195	62
644	195	62
645	195	62
646	196	61
647	196	61
648	196	61
649	197	60
650	197	60
651	197	60
652	199	60
653	199	60
654	200	59
655	200	59
656	200	59
657	201	58
658	201	58
659	201	58
660	201	58
661	202	57
662	202	57
663	202	57
664	203	56
665	203	56
666	203	56
667	204	55
668	204	55
669	204	55
670	204	54
671	205	54
672	205	54
673	205	54
674	205	53
675	206	53
676	206	53
677	207	52
678	207	52
679	208	52
680	208	52
681	208	51
682	208	51
683	209	51
684	209	50
685	209	50
686	209	50
687	210	49
688	210	49
689	210	49
690	211	48
691	211	48
692	211	48
693	212	47
694	212	47
695	212	47
696	212	47
697	213	46
698	213	46
699	213	46
700	214	45
701	214	45
702	214	45
703	215	44
704	215	44
705	215	44
706	215	43
707	216	43
708	217	43
709	217	43
710	217	42
711	218	42
712	218	42
713	218	41
714	218	41
715	219	41
716	219	40
717	219	40
718	219	40
719	220	40
720	220	39
721	220	39
722	220	39
723	221	38
724	221	38
725	221	38
726	222	37
727	222	37
728	222	37
729	222	36
730	223	36
731	223	36
732	223	36
733	223	35
734	224	35
735	224	35
736	224	34
737	225	34
738	225	34
739	225	33
740	225	33
741	226	33
742	226	32
743	226	32
744	226	32
745	227	31
746	227	31
747	227	31
748	227	31
749	228	30
750	228	30
751	228	30
752	229	29
753	229	29
754	229	29
755	229	28
756	230	28
757	230	28
758	230	27
759	230	27
760	231	27
761	231	27
762	231	26
763	232	26
764	232	26
765	232	25
766	234	25
767	234	25
768	234	25
769	235	24
770	235	24
771	235	24
772	236	23
773	236	23
774	236	23
775	236	22
776	237	22
777	237	22
778	238	22
779	238	21
780	238	21
781	239	21
782	239	20
783	240	20
784	240	20
785	240	19
786	241	19
787	241	19
788	241	18
789	242	18
790	242	18
791	243	18
792	243	17
793	243	17
794	244	17
795	244	16
796	244	16
797	245	16
798	245	15
799	245	15
800	245	15
801	246	15
802	246	14
803	246	14
804	247	14
805	247	13
806	247	13
807	247	13
808	248	12
809	248	12
810	248	12
811	249	11
812	249	11
813	249	11
814	250	11
815	250	10
816	251	10
817	251	10
818	251	9
819	252	9
820	252	9
821	253	8
822	253	8
823	253	8
824	253	8
825	254	7
826	254	7
827	254	7
828	255	6
829	255	6
830	255	6
831	256	5
832	256	5
833	256	5
834	256	4
835	257	4
836	257	4
837	257	4
838	258	3
839	258	3
840	258	3
841	259	2
842	259	2
843	259	2
844	259	1
845	260	1
846	260	1
847	260	0
848	261	0
849	261	0
850	261	0
